votersAge,Blood Group,Permanent_Address,Citizenship Number,Customer Code,National Id,Date of Birth,SC Number,Mother Name,License Number,votersID,source,Mobile Number,soup,Temporary_Address,Gender,Father_Name,PAN_Number,last_modified_date,SpouseName,Customer ID,Name,uuid
45,AB+,"Baluwatar, Kathmandu, Nepal",624-93227-32431/660086,21216874,AB123C,1990-01-01,001.01.01,Laxmi Thapa,15-05-58353205,11116874,"layout1, layout2, layout3, layout4, layout5",1234567890,ramthapa 1990-01-01 rambahadurthapa,"Gongabu, Kathmandu, Nepal",Male,Ram Bahadur Thapa,ABCDE1234F,2024-07-22 10:48:33.118337,Sita Thapa,3245,Ram Thapa,8130816101990
38,AB-,"Lakeside, Pokhara, Nepal",747-42087-31417/584714,22359363,DE456F,1991-02-02,001.01.02,Radha Sharma,21-08-00435579,22259363,"layout1, layout2, layout3, layout4, layout5",2345678901,sitashrestha 1991-02-02 hariprasadshrestha,"New Road, Pokhara, Nepal",Female,Hari Prasad Shrestha,FGHIJ5678K,2024-07-22 10:48:33.121231,Ravi Sharma,3246,Sita Shrestha,9901988590810
52,B-,"Chitwan National Park, Chitwan, Nepal",389-45382-93886/821590,33485241,GH789I,1992-03-03,001.01.03,Gita Adhikari,93-12-35351480,33385241,"layout1, layout2, layout3, layout4, layout5",3456789012,harigurung 1992-03-03 gopalkrishnagurung,"Pulchowk, Lalitpur, Nepal",Male,Gopal Krishna Gurung,LMNOP9012L,2024-07-22 10:48:33.123784,Maya Adhikari,3247,Hari Gurung,8189718147019
30,A-,"Biratnagar, Morang, Nepal",571-38785-99733/440035,45475489,JK012L,1993-04-04,001.01.04,Mina Rai,65-03-68139881,44475489,"layout1, layout2, layout3, layout4, layout5",4567890123,gitatamang 1993-04-04 shyamlaltamang,"Bagbazar, Kathmandu, Nepal",Female,Shyam Lal Tamang,QRSTU3456M,2024-07-22 10:48:33.126512,Surya Rai,3248,Gita Tamang,7901013147019
27,,"Bharatpur, Chitwan, Nepal",,56562139,MN345O,1994-05-05,001.01.05,Kalpana Karki,,55562139,"layout1, layout2, layout3, layout4",5678901234,mohanlama 1994-05-05 krishnarajlama,,Male,Krishna Raj Lama,VWXYZ7890N,2024-07-22 10:48:33.062667,Sarita Karki,3249,Mohan Lama,3581421310199
41,B-,"Butwal, Rupandehi, Nepal",033-51347-62581/380746,67698214,PQ678R,1995-06-06,001.01.06,Nima Gurung,82-09-81734599,66698214,"layout1, layout2, layout3, layout4, layout5",6789012345,radhamagar 1995-06-06 narayankumarmagar,"Chabahil, Kathmandu, Nepal",Female,Narayan Kumar Magar,ABCD1234PQ,2024-07-22 10:48:33.131461,Pemba Gurung,3250,Radha Magar,8148131718019
36,,"Hetauda, Makwanpur, Nepal",,78714635,ST901U,1996-07-07,001.01.07,Saru Shrestha,,77714635,"layout1, layout2, layout3, layout4",7890123456,krishnarai 1996-07-07 govindabahadurrai,"Kumaripati, Lalitpur, Nepal",Male,Govinda Bahadur Rai,EFGH5678RS,2024-07-22 10:48:33.068581,Laxmi Shrestha,3251,Krishna Rai,1899841819019
50,A-,"Janakpur, Dhanusa, Nepal",323-37869-95909/623481,89847326,VW234X,1997-08-08,001.01.08,Nanu Maharjan,98-03-72394228,88847326,"layout1, layout2, layout3, layout4, layout5",8901234567,saritasherpa 1997-08-08 shivanarayansherpa,"New Baneshwor, Kathmandu, Nepal",Female,Shiva Narayan Sherpa,TUVW9012XY,2024-07-22 10:48:33.137289,Raj Maharjan,3252,Sarita Sherpa,9189019858610
43,,"Nepalgunj, Banke, Nepal",,91953421,YZ567A,1998-09-09,001.01.09,Lhamu Tamang,,99953421,"layout1, layout2, layout3, layout4",9012345678,bikashkarki 1998-09-09 bhagirathbahadurkarki,"Boudha, Kathmandu, Nepal",Male,Bhagirath Bahadur Karki,ZABC3456DE,2024-07-22 10:48:33.075434,Pema Tamang,3253,Bikash Karki,2911981181901
34,A-,"Dharan, Sunsari, Nepal",272-28301-42325/881177,10203847,BC890D,1999-10-10,001.01.10,Lila KC,42-08-02614125,10103847,"layout1, layout2, layout3, layout4, layout5",123456789,nishabhandari 1999-10-10 suryabahadurbhandari,"Kalanki, Kathmandu, Nepal",Female,Surya Bahadur Bhandari,FGHI7890JK,2024-07-22 10:48:33.142699,Manish KC,3254,Nisha Bhandari,4998128144189
